"Azure Machine Learning - Mar 4, 2025 - 1:13:51 PM",,,,,
,,,,,
Recommendations for your workload,,,,,
Your overall results,Excellent,'100/100',,,
Azure Machine Learning: Cost Optimization,Excellent,'100/100',,,
Azure Machine Learning: Operational Excellence,Excellent,'100/100',,,
Azure Machine Learning: Performance Efficiency,Excellent,'100/100',,,
Azure Machine Learning: Reliability,Excellent,'100/100',,,
Azure Machine Learning: Security,Excellent,'100/100',,,
,,,,,
,,,,,
,https://learn.microsoft.com,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Azure Machine Learning: Cost Optimization,What steps are you taking to optimize cloud costs in Azure Machine Learning?,We use cost management tools to plan and track costs.,We use cost management tools to plan and track costs.,,
Azure Machine Learning: Cost Optimization,What steps are you taking to optimize cloud costs in Azure Machine Learning?,We identify and use the right-sized compute for machine learning models.,We identify and use the right-sized compute for machine learning models.,,
Azure Machine Learning: Cost Optimization,What steps are you taking to optimize cloud costs in Azure Machine Learning?,We're considering the use of local compute or remote managed compute for automated machine learning to reduce costs. ,We're considering the use of local compute or remote managed compute for automated machine learning to reduce costs. ,,
Azure Machine Learning: Cost Optimization,What steps are you taking to optimize cloud costs in Azure Machine Learning?,We optimize our cloud investment with cost management.,We optimize our cloud investment with cost management.,,
Azure Machine Learning: Cost Optimization,What steps are you taking to optimize cloud costs in Azure Machine Learning?,We use an appropriately sized compute instance and compute cluster for training and inference. ,We use an appropriately sized compute instance and compute cluster for training and inference. ,,
Azure Machine Learning: Cost Optimization,What steps are you taking to optimize cloud costs in Azure Machine Learning?,None of the above.,None of the above.,,
Azure Machine Learning: Cost Optimization,How does your organization model and monitor cloud costs for Azure Machine Learning?,We plan and manage costs for Azure Machine Learning.,We plan and manage costs for Azure Machine Learning.,,
Azure Machine Learning: Cost Optimization,How does your organization model and monitor cloud costs for Azure Machine Learning?,We utilize cost alerts for Azure Machine Learning.,We utilize cost alerts for Azure Machine Learning.,,
Azure Machine Learning: Cost Optimization,How does your organization model and monitor cloud costs for Azure Machine Learning?,We create and manage Azure budgets.,We create and manage Azure budgets.,,
Azure Machine Learning: Cost Optimization,How does your organization model and monitor cloud costs for Azure Machine Learning?,None of the above.,None of the above.,,
Azure Machine Learning: Cost Optimization,What actions do you typically take for cost optimization in Azure Machine Learning?,We configure our training clusters to autoscale.,We configure our training clusters to autoscale.,,
Azure Machine Learning: Cost Optimization,What actions do you typically take for cost optimization in Azure Machine Learning?,We set quotas on our subscription and workspaces.,We set quotas on our subscription and workspaces.,,
Azure Machine Learning: Cost Optimization,What actions do you typically take for cost optimization in Azure Machine Learning?,We set termination policies on our training job.,We set termination policies on our training job.,,
Azure Machine Learning: Cost Optimization,What actions do you typically take for cost optimization in Azure Machine Learning?,We use low-priority virtual machines (VMs).,We use low-priority virtual machines (VMs).,,
Azure Machine Learning: Cost Optimization,What actions do you typically take for cost optimization in Azure Machine Learning?,We schedule compute instances to shut down and start up automatically.,We schedule compute instances to shut down and start up automatically.,,
Azure Machine Learning: Cost Optimization,What actions do you typically take for cost optimization in Azure Machine Learning?,We use an Azure Reserved VM Instance.,We use an Azure Reserved VM Instance.,,
Azure Machine Learning: Cost Optimization,What actions do you typically take for cost optimization in Azure Machine Learning?,We train locally.,We train locally.,,
Azure Machine Learning: Cost Optimization,What actions do you typically take for cost optimization in Azure Machine Learning?,We parallelize training.,We parallelize training.,,
